config_id,mode,scope,rows,dates,brier,signals,lift,forward_delta_bps
treasury_fusion_2010_120m,bank_delayed,KZT,727,727,0.18328932404802165,145,1.413982043973409,41.856031645486844
treasury_fusion_2010_120m,both_delayed,KZT,727,727,0.18211294302872505,147,1.4433261504413735,39.768857323976185
treasury_fusion_2010_120m,normal,KZT,727,727,0.17877999814207798,144,1.5982341043273023,53.177231496971864
treasury_fusion_2010_120m,oxr_delayed,KZT,727,727,0.1771608494518306,142,1.5637807413304075,56.507240227404495
treasury_halyk_shrink_120m,bank_delayed,KZT,727,727,0.17859761548800687,148,1.499545937622358,39.157653381088025
treasury_halyk_shrink_120m,normal,KZT,727,727,0.17311857109103618,145,1.5158087693106663,47.560159948778114
treasury_oxr_basis_2010_120m,normal,all,3635,727,0.18399177804073408,757,1.3397314117400758,35.13302266287222
treasury_oxr_basis_2010_120m,normal,KZT,727,727,0.1821960756623301,154,1.4498696604518775,35.250439991826084
treasury_oxr_basis_2010_120m,oxr_delayed,all,3635,727,0.18293152619173086,784,1.350729849695211,36.51300352219487
treasury_oxr_basis_2010_120m,oxr_delayed,KZT,727,727,0.183091006695889,157,1.4235791885996172,36.768644783903426
treasury_oxr_basis_2018_120m,normal,all,3635,727,0.18342679518961433,754,1.3594034154392582,36.796989688985946
treasury_oxr_basis_2018_120m,normal,KZT,727,727,0.18179669064264262,151,1.4210408097537435,32.13700416421799
treasury_oxr_basis_2018_120m,oxr_delayed,all,3635,727,0.1835187242996243,753,1.364568585808135,37.77347493037478
treasury_oxr_basis_2018_120m,oxr_delayed,KZT,727,727,0.18163482503546363,150,1.451041307236676,35.50185161458321
treasury_oxr_full_2010_120m,normal,all,3635,727,0.1863506004603245,759,1.3796704456881879,37.549467654734606
treasury_oxr_full_2010_120m,normal,KZT,727,727,0.183138743312741,144,1.470911809741462,39.77975779613769
treasury_oxr_full_2010_120m,oxr_delayed,all,3635,727,0.18408514522882152,765,1.3760110270813504,39.254006651953624
treasury_oxr_full_2010_120m,oxr_delayed,KZT,727,727,0.1828565896927736,148,1.402706560942093,31.723257450691126
treasury_v3_120m,normal,all,3635,727,0.1832945778904442,767,1.3432933521372972,31.515143939416824
treasury_v3_120m,normal,KZT,727,727,0.18149810306509626,153,1.3199121565934335,29.299083533942934
